start_name,end_name,time_seconds
宿舍服務中心,花茶大師,106
花茶大師,宿舍服務中心,106
宿舍服務中心,東東生鮮手工大水餃,122
東東生鮮手工大水餃,宿舍服務中心,122
宿舍服務中心,美味王,109
美味王,宿舍服務中心,109
宿舍服務中心,滿食記燒肉丼飯,110
滿食記燒肉丼飯,宿舍服務中心,110
宿舍服務中心,Enf-健康輕食餐,112
Enf-健康輕食餐,宿舍服務中心,112
宿舍服務中心,饌食園,114
饌食園,宿舍服務中心,114
宿舍服務中心,香恬園,97
香恬園,宿舍服務中心,97
宿舍服務中心,宵夜屋自助餐,98
宵夜屋自助餐,宿舍服務中心,98
宿舍服務中心,來來炒飯,99
來來炒飯,宿舍服務中心,99
宿舍服務中心,喬慧素食,99
喬慧素食,宿舍服務中心,99
宿舍服務中心,7餐(松果餐廳),88
7餐(松果餐廳),宿舍服務中心,88
宿舍服務中心,Main蛋,95
Main蛋,宿舍服務中心,95
羽球館,中大國民運動中心,100
中大國民運動中心,羽球館,100
羽球館,國鼎光電大樓,113
國鼎光電大樓,羽球館,113
羽球館,教學研究綜合大樓,103
教學研究綜合大樓,羽球館,103
中大國民運動中心,國鼎光電大樓,67
國鼎光電大樓,中大國民運動中心,67
中大國民運動中心,客家學院,122
客家學院,中大國民運動中心,122
國鼎光電大樓,客家學院,61
客家學院,國鼎光電大樓,61
科學四館,鴻經館,84
鴻經館,科學四館,84
科學四館,客家學院,121
客家學院,科學四館,121
科學四館,科五館(S5),67
科五館(S5),科學四館,67
科學四館,理學院教學館(普化實驗大樓),37
理學院教學館(普化實驗大樓),科學四館,37
科學四館,科三館,58
科三館,科學四館,58
科學二館(理學院大樓),鴻經館,88
鴻經館,科學二館(理學院大樓),88
科學二館(理學院大樓),綜教館(語言中心),60
綜教館(語言中心),科學二館(理學院大樓),60
科學二館(理學院大樓),志希館,120
志希館,科學二館(理學院大樓),120
科學二館(理學院大樓),科三館,69
科三館,科學二館(理學院大樓),69
